strain_ID	ED50
13-AM-12	0.574539009093662
13-AM-10	0.378898451385582
13-FR-1	0.421415410499463
17-FR-15	1.23155872624042
104	0.32658464801665
174	0.881826837379931
413	0.30038938783784
498	0.875197036551833
736	0.558927907827106
769	1.62085090625041
1286	1.0227671213866
1634	0.544743751556591
1639VB	0.887542723661575
1680	30
2199	0.367053359866869
2202	30
2203	3.445949901738
2222	0.85849236560942
2223	0.256418119135213
2225	0.269540971901389
2230	0.533849694045565
2335	3.207036323889
2340	1.3825911262492
2345	2.75944900351365
2349	1.14773705411466
2353	2.48946894255905
2360	3.53644358981601
2408	1.21446891279177
2447	0.405583339885115
2448	0.664697840144018
2449	0.437607847978917
2450	1.38513189323011
2453	0.698271592920763
2461	0.370408120361491
2479	0.531479670802118
2480	0.858471584758112
2482	0.614627004859559
2491	0.914674278531731
2557	1.25162139276946
